,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
0,City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,"November 1, 2019","December 19, 2019"
1,Resolute Bank,Maumee,OH,58317,Buckeye State Bank,"October 25, 2019","December 19, 2019"
2,Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,"October 25, 2019","December 19, 2019"
3,The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.","May 31, 2019","December 19, 2019"
4,Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,"December 15, 2017","July 24, 2019"
5,The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,"October 13, 2017","August 12, 2019"
6,Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb","May 26, 2017","January 29, 2019"
7,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,"May 5, 2017","March 22, 2018"
8,First NBC Bank,New Orleans,LA,58302,Whitney Bank,"April 28, 2017","January 29, 2019"
9,Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,"March 3, 2017","January 29, 2019"
10,Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,"January 27, 2017","January 29, 2019"
11,Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,"January 13, 2017","September 20, 2019"
12,Allied Bank,Mulberry,AR,91,Today's Bank,"September 23, 2016","May 13, 2019"
13,The Woodbury Banking Company,Woodbury,GA,11297,United Bank,"August 19, 2016","December 13, 2018"
14,First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,"May 6, 2016","November 13, 2018"
15,Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,"April 29, 2016","September 14, 2018"
16,North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,"March 11, 2016","January 29, 2019"
17,Hometown National Bank,Longview,WA,35156,Twin City Bank,"October 2, 2015","February 19, 2018"
18,The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,"October 2, 2015","July 9, 2018"
19,Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb","July 10, 2015","February 20, 2018"
20,Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,"May 8, 2015","January 29, 2019"
21,Doral Bank  En Español,San Juan,PR,32102,Banco Popular de Puerto Rico,"February 27, 2015","January 29, 2019"
22,Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,"February 13, 2015","January 29, 2019"
23,Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb","January 23, 2015","November 15, 2017"
24,First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,"January 16, 2015","November 15, 2017"
25,Northern Star Bank,Mankato,MN,34983,BankVista,"December 19, 2014","January 3, 2018"
26,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.","November 7, 2014","November 10, 2016"
27,The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,"October 24, 2014","January 6, 2016"
28,NBRS Financial,Rising Sun,MD,4862,Howard Bank,"October 17, 2014","January 29, 2019"
29,"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC","July 25, 2014","December 12, 2016"
30,Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,"July 18, 2014","October 6, 2017"
31,The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,"June 27, 2014","February 21, 2018"
32,Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association","June 20, 2014","January 29, 2019"
33,Valley Bank,Moline,IL,10450,Great Southern Bank,"June 20, 2014","January 29, 2019"
34,Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB","May 30, 2014","December 12, 2016"
35,Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb","May 23, 2014","November 10, 2016"
36,AztecAmerica Bank En Español,Berwyn,IL,57866,Republic Bank of Chicago,"May 16, 2014","October 20, 2016"
37,Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,"April 25, 2014","November 12, 2019"
38,Vantage Point Bank,Horsham,PA,58531,First Choice Bank,"February 28, 2014","January 7, 2018"
39,"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,"February 28, 2014","July 10, 2018"
40,Syringa Bank,Boise,ID,34296,Sunwest Bank,"January 31, 2014","April 12, 2016"
41,The Bank of Union,El Reno,OK,17967,BancFirst,"January 24, 2014","January 29, 2019"
42,DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,"January 17, 2014","October 20, 2016"
43,"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB","December 13, 2013","February 13, 2018"
44,Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,"October 30, 2013","October 20, 2016"
45,First National Bank also operating as The  National Bank of El Paso En Español,Edinburg,TX,14318,PlainsCapital Bank,"September 13, 2013","May 27, 2015"
46,The Community's Bank,Bridgeport,CT,57041,No Acquirer,"September 13, 2013","December 7, 2015"
47,Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association","August 23, 2013","May 3, 2017"
48,Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.","August 23, 2013","January 29, 2019"
49,Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,"August 9, 2013","February 21, 2018"
50,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,"August 2, 2013","February 9, 2017"
51,Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association","June 7, 2013","February 4, 2016"
52,1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,"June 6, 2013","August 8, 2018"
53,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB","May 31, 2013","January 29, 2019"
54,Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,"May 14, 2013","December 7, 2015"
55,Sunrise Bank,Valdosta,GA,58185,Synovus Bank,"May 10, 2013","January 29, 2019"
56,Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.","May 10, 2013","August 8, 2016"
57,Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,"April 26, 2013","April 25, 2014"
58,Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association","April 26, 2013","October 6, 2017"
59,Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,"April 19, 2013","September 21, 2015"
60,Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,"April 19, 2013","January 29, 2019"
61,First Federal Bank,Lexington,KY,29594,Your Community Bank,"April 19, 2013","December 12, 2016"
62,Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association","April 5, 2013","October 6, 2017"
63,Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,"March 8, 2013","November 13, 2017"
64,Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,"February 15, 2013","September 21, 2015"
65,1st Regents Bank,Andover,MN,57157,First Minnesota Bank,"January 18, 2013","July 12, 2016"
66,Westside Community Bank,University Place,WA,33997,Sunwest Bank,"January 11, 2013","August 8, 2016"
67,Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,"December 14, 2012","January 29, 2019"
68,Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association","November 16, 2012","October 6, 2017"
69,Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,"November 2, 2012","February 13, 2018"
70,Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,"November 2, 2012","January 29, 2019"
71,NOVA Bank,Berwyn,PA,27148,No Acquirer,"October 26, 2012","January 29, 2019"
72,Excel Bank,Sedalia,MO,19189,Simmons First National Bank,"October 19, 2012","August 7, 2018"
73,First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,"October 19, 2012","January 6, 2016"
74,GulfSouth Private Bank,Destin,FL,58073,SmartBank,"October 19, 2012","January 29, 2019"
75,First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association","September 28, 2012","October 12, 2018"
76,Truman Bank,St. Louis,MO,27316,Simmons First National Bank,"September 14, 2012","December 11, 2018"
77,First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,"September 7, 2012","July 10, 2018"
78,Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,"August 3, 2012","December 7, 2015"
79,Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,"July 27, 2012","January 29, 2019"
80,Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,"July 20, 2012","January 3, 2018"
81,Heartland Bank,Leawood,KS,1361,Metcalf Bank,"July 20, 2012","January 29, 2019"
82,First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,"July 20, 2012","October 6, 2017"
83,Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,"July 20, 2012","February 6, 2019"
84,The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,"July 20, 2012","March 21, 2014"
85,Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,"July 13, 2012","August 19, 2014"
86,Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,"July 6, 2012","January 29, 2019"
87,The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,"June 15, 2012","August 8, 2016"
88,Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,"June 15, 2012","November 26, 2018"
89,Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,"June 15, 2012","February 13, 2018"
90,Waccamaw Bank,Whiteville,NC,34515,First Community Bank,"June 8, 2012","January 29, 2019"
91,Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,"June 8, 2012","May 13, 2019"
92,Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,"June 8, 2012","January 29, 2019"
93,First Capital Bank,Kingfisher,OK,416,F & M Bank,"June 8, 2012","February 5, 2015"
94,"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,"May 18, 2012","September 21, 2015"
95,"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,"May 4, 2012","April 12, 2016"
96,Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,"April 27, 2012","December 7, 2015"
97,Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,"April 27, 2012","November 10, 2016"
98,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,"April 27, 2012","December 10, 2018"
99,HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,"April 27, 2012","September 21, 2015"
100,Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,"April 27, 2012","January 29, 2019"
101,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,"April 20, 2012","January 29, 2019"
102,Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,"March 30, 2012","July 10, 2018"
103,Premier Bank,Wilmette,IL,35419,International Bank of Chicago,"March 23, 2012","January 29, 2019"
104,Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.","March 23, 2012","January 29, 2019"
105,New City Bank,Chicago,IL,57597,No Acquirer,"March 9, 2012","January 29, 2019"
106,Global Commerce Bank,Doraville,GA,34046,Metro City Bank,"March 2, 2012","January 29, 2019"
107,Home Savings of America,Little Falls,MN,29178,No Acquirer,"February 24, 2012","January 29, 2019"
108,Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,"February 24, 2012","January 29, 2019"
109,SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association","February 10, 2012","January 29, 2019"
110,Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association","February 10, 2012","April 9, 2019"
111,BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.","January 27, 2012","December 7, 2015"
112,Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,"January 27, 2012","November 13, 2017"
113,Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,"January 27, 2012","January 29, 2019"
114,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.","January 27, 2012","July 11, 2016"
115,American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.","January 20, 2012","February 21, 2018"
116,The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,"January 20, 2012","January 29, 2019"
117,Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.","January 20, 2012","June 6, 2016"
118,Western National Bank,Phoenix,AZ,57917,Washington Federal,"December 16, 2011","February 5, 2015"
119,Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,"December 16, 2011","February 19, 2018"
120,Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,"November 18, 2011","February 5, 2015"
121,Polk County Bank,Johnston,IA,14194,Grinnell State Bank,"November 18, 2011","August 15, 2012"
122,Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,"November 10, 2011","January 29, 2019"
123,SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,"November 4, 2011","August 9, 2017"
124,"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,"November 4, 2011","April 16, 2018"
125,All American Bank,Des Plaines,IL,57759,International Bank of Chicago,"October 28, 2011","February 21, 2018"
126,Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.","October 21, 2011","January 29, 2019"
127,Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,"October 21, 2011","January 6, 2016"
128,Decatur First Bank,Decatur,GA,34392,Fidelity Bank,"October 21, 2011","March 21, 2014"
129,Old Harbor Bank,Clearwater,FL,57537,1st United Bank,"October 21, 2011","January 29, 2019"
130,Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,"October 14, 2011","January 29, 2019"
131,First State Bank,Cranford,NJ,58046,Northfield Bank,"October 14, 2011","October 23, 2017"
132,"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,"October 14, 2011","October 11, 2018"
133,Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,"October 14, 2011","March 21, 2014"
134,Sun Security Bank,Ellington,MO,20115,Great Southern Bank,"October 7, 2011","May 8, 2017"
135,The RiverBank,Wyoming,MN,10216,Central Bank,"October 7, 2011","May 9, 2018"
136,First International Bank,Plano,TX,33513,American First National Bank,"September 30, 2011","February 5, 2015"
137,Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,"September 23, 2011","January 7, 2018"
138,Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,"September 23, 2011","January 29, 2019"
139,The First National Bank of Florida,Milton,FL,25155,CharterBank,"September 9, 2011","March 21, 2014"
140,CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,"September 2, 2011","June 23, 2017"
141,Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,"September 2, 2011","June 28, 2017"
142,First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,"August 19, 2011","February 5, 2015"
143,First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,"August 19, 2011","February 19, 2018"
144,Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.","August 19, 2011","January 29, 2019"
145,Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.","August 18, 2011","February 12, 2018"
146,The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,"August 12, 2011","June 8, 2018"
147,Bank of Whitman,Colfax,WA,22528,Columbia State Bank,"August 5, 2011","January 29, 2019"
148,Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,"August 5, 2011","October 20, 2016"
149,Integra Bank National Association,Evansville,IN,4392,Old National Bank,"July 29, 2011","August 16, 2012"
150,"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,"July 29, 2011","January 29, 2019"
151,Virginia Business Bank,Richmond,VA,58283,Xenith Bank,"July 29, 2011","October 9, 2012"
152,Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.","July 22, 2011","January 29, 2019"
153,LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,"July 22, 2011","March 21, 2014"
154,Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,"July 22, 2011","February 5, 2015"
155,Summit Bank,Prescott,AZ,57442,The Foothills Bank,"July 15, 2011","August 19, 2014"
156,First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.","July 15, 2011","July 12, 2016"
157,High Trust Bank,Stockbridge,GA,19554,Ameris Bank,"July 15, 2011","January 29, 2019"
158,One Georgia Bank,Atlanta,GA,58238,Ameris Bank,"July 15, 2011","January 29, 2019"
159,Signature Bank,Windsor,CO,57835,Points West Community Bank,"July 8, 2011","October 26, 2012"
160,Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,"July 8, 2011","November 10, 2016"
161,First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,"July 8, 2011","January 29, 2019"
162,Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,"June 24, 2011","February 9, 2017"
163,First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,"June 17, 2011","September 12, 2016"
164,McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,"June 17, 2011","January 29, 2019"
165,Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.","June 3, 2011","January 29, 2019"
166,First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,"May 27, 2011","October 23, 2017"
167,Summit Bank,Burlington,WA,513,Columbia State Bank,"May 20, 2011","October 23, 2017"
168,First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association","May 20, 2011","January 29, 2019"
169,Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association","May 20, 2011","August 12, 2019"
170,Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.","May 6, 2011","September 21, 2015"
171,Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,"April 29, 2011","February 20, 2018"
172,The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,"April 29, 2011","January 29, 2019"
173,First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,"April 29, 2011","September 21, 2015"
174,Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011","August 8, 2016"
175,First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011","May 4, 2016"
176,Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,"April 15, 2011","January 29, 2019"
177,Rosemount National Bank,Rosemount,MN,24099,Central Bank,"April 15, 2011","December 7, 2015"
178,Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association","April 15, 2011","January 29, 2019"
179,Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,"April 15, 2011","December 9, 2019"
180,New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,"April 15, 2011","November 13, 2017"
181,Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,"April 15, 2011","January 29, 2019"
182,Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,"April 8, 2011","January 29, 2019"
183,Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,"April 8, 2011","April 17, 2018"
184,The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,"March 25, 2011","April 13, 2018"
185,Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,"March 11, 2011","January 29, 2019"
186,First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,"March 11, 2011","January 29, 2019"
187,Valley Community Bank,St. Charles,IL,34187,First State Bank,"February 25, 2011","February 5, 2015"
188,"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,"February 18, 2011","September 12, 2016"
189,Charter Oak Bank,Napa,CA,57855,Bank of Marin,"February 18, 2011","January 29, 2019"
190,Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,"February 18, 2011","May 10, 2018"
191,Habersham Bank,Clarkesville,GA,151,SCBT National Association,"February 18, 2011","January 29, 2019"
192,Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,"February 11, 2011","August 19, 2014"
193,Badger State Bank,Cassville,WI,13272,Royal Bank,"February 11, 2011","September 12, 2012"
194,Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,"February 11, 2011","February 20, 2018"
195,Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.","February 11, 2011","August 8, 2016"
196,Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,"February 4, 2011","April 13, 2018"
197,North Georgia Bank,Watkinsville,GA,35242,BankSouth,"February 4, 2011","September 19, 2017"
198,American Trust Bank,Roswell,GA,57432,Renasant Bank,"February 4, 2011","January 29, 2019"
199,First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.","January 28, 2011","January 29, 2019"
200,FirsTier Bank,Louisville,CO,57646,No Acquirer,"January 28, 2011","January 29, 2019"
201,Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,"January 28, 2011","September 16, 2019"
202,The First State Bank,Camargo,OK,2303,Bank 7,"January 28, 2011","November 13, 2017"
203,United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,"January 21, 2011","January 29, 2019"
204,The Bank of Asheville,Asheville,NC,34516,First Bank,"January 21, 2011","January 29, 2019"
205,CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association","January 21, 2011","June 6, 2016"
206,Enterprise Banking Company,McDonough,GA,19758,No Acquirer,"January 21, 2011","January 29, 2019"
207,Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,"January 14, 2011","November 13, 2017"
208,Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,"January 7, 2011","April 12, 2016"
209,First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,"January 7, 2011","June 6, 2016"
210,Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,"December 17, 2010","November 10, 2016"
211,First Southern Bank,Batesville,AR,58052,Southern Bank,"December 17, 2010","August 12, 2019"
212,"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,"December 17, 2010","October 17, 2015"
213,"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,"December 17, 2010","January 29, 2019"
214,Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,"December 17, 2010","September 21, 2015"
215,"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,"December 17, 2010","January 29, 2019"
216,Earthstar Bank,Southampton,PA,35561,Polonia Bank,"December 10, 2010","January 29, 2019"
217,Paramount Bank,Farmington Hills,MI,34673,Level One Bank,"December 10, 2010","September 21, 2015"
218,First Banking Center,Burlington,WI,5287,First Michigan Bank,"November 19, 2010","January 29, 2019"
219,Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,"November 19, 2010","July 26, 2017"
