,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
280,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB","July 9, 2010","January 15, 2013"
281,High Desert State Bank,Albuquerque,NM,35279,First American Bank,"June 25, 2010","June 8, 2018"
282,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.","June 25, 2010","January 31, 2019"
283,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.","June 25, 2010","May 11, 2018"
284,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,"June 18, 2010","August 23, 2012"
285,Washington First International Bank,Seattle,WA,32955,East West Bank,"June 11, 2010","February 22, 2018"
286,TierOne Bank,Lincoln,NE,29341,Great Western Bank,"June 4, 2010","January 31, 2019"
287,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,"June 4, 2010","January 31, 2019"
288,First National Bank,Rosedale,MS,15814,The Jefferson Bank,"June 4, 2010","February 20, 2018"
289,Sun West Bank,Las Vegas,NV,34785,City National Bank,"May 28, 2010","January 31, 2019"
290,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,"May 28, 2010","September 7, 2017"
291,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,"May 28, 2010","August 8, 2016"
292,Bank of Florida - Southwest,Naples,FL,35106,EverBank,"May 28, 2010","August 8, 2016"
293,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,"May 28, 2010","August 8, 2016"
294,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,"May 21, 2010","October 26, 2012"
295,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.","May 14, 2010","January 31, 2019"
296,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,"May 14, 2010","February 4, 2016"
297,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,"May 14, 2010","January 31, 2019"
298,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,"May 14, 2010","January 31, 2019"
299,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,"May 7, 2010","January 31, 2019"
300,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,"May 7, 2010","January 31, 2019"
301,Access Bank,Champlin,MN,16476,PrinsBank,"May 7, 2010","February 5, 2015"
302,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,"May 7, 2010","January 31, 2019"
303,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.","April 30, 2010","January 31, 2019"
304,BC National Banks,Butler,MO,17792,Community First Bank,"April 30, 2010","August 7, 2018"
305,Champion Bank,Creve Coeur,MO,58362,BankLiberty,"April 30, 2010","June 6, 2016"
306,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,"April 30, 2010","January 31, 2019"
307,Westernbank Puerto Rico  En Español,Mayaguez,PR,31027,Banco Popular de Puerto Rico,"April 30, 2010","January 31, 2019"
308,R-G Premier Bank of Puerto Rico  En Español,Hato Rey,PR,32185,Scotiabank de Puerto Rico,"April 30, 2010","January 31, 2019"
309,Eurobank  En Español,San Juan,PR,27150,Oriental Bank and Trust,"April 30, 2010","January 31, 2019"
310,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,"April 23, 2010","January 31, 2019"
311,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,"April 23, 2010","January 31, 2019"
312,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,"April 23, 2010","January 31, 2019"
313,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.","April 23, 2010","January 31, 2019"
314,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,"April 23, 2010","January 31, 2019"
315,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.","April 23, 2010","January 31, 2019"
316,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,"April 23, 2010","January 31, 2019"
317,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,"April 16, 2010","January 31, 2019"
318,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.","April 16, 2010","January 31, 2019"
319,Innovative Bank,Oakland,CA,23876,Center Bank,"April 16, 2010","May 13, 2019"
320,Butler Bank,Lowell,MA,26619,People's United Bank,"April 16, 2010","January 31, 2019"
321,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.","April 16, 2010","January 31, 2019"
322,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.","April 16, 2010","January 31, 2019"
323,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.","April 16, 2010","January 31, 2019"
324,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,"April 16, 2010","January 31, 2019"
325,Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,"April 9, 2010","February 13, 2018"
326,Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,"March 26, 2010","January 31, 2019"
327,Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,"March 26, 2010","September 21, 2015"
328,Key West Bank,Key West,FL,34684,Centennial Bank,"March 26, 2010","February 9, 2017"
329,McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,"March 26, 2010","July 11, 2016"
330,State Bank of Aurora,Aurora,MN,8221,Northern State Bank,"March 19, 2010","August 8, 2016"
331,First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,"March 19, 2010","March 21, 2014"
332,Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,"March 19, 2010","January 31, 2019"
333,Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,"March 19, 2010","January 31, 2019"
334,Advanta Bank Corp.,Draper,UT,33535,No Acquirer,"March 19, 2010","January 31, 2019"
335,Century Security Bank,Duluth,GA,58104,Bank of Upson,"March 19, 2010","May 13, 2019"
336,American National Bank,Parma,OH,18806,The National Bank and Trust Company,"March 19, 2010","September 21, 2015"
337,Statewide Bank,Covington,LA,29561,Home Bank,"March 12, 2010","January 31, 2019"
338,Old Southern Bank,Orlando,FL,58182,Centennial Bank,"March 12, 2010","February 9, 2017"
339,The Park Avenue Bank,New York,NY,27096,Valley National Bank,"March 12, 2010","January 31, 2019"
340,LibertyPointe Bank,New York,NY,58071,Valley National Bank,"March 11, 2010","January 31, 2019"
341,Centennial Bank,Ogden,UT,34430,No Acquirer,"March 5, 2010","January 31, 2019"
342,Waterfield Bank,Germantown,MD,34976,No Acquirer,"March 5, 2010","January 31, 2019"
343,Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,"March 5, 2010","September 16, 2019"
344,Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,"March 5, 2010","January 31, 2019"
345,Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,"February 26, 2010","June 7, 2018"
346,Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,"February 26, 2010","January 31, 2019"
347,"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB","February 19, 2010","January 31, 2019"
348,George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.","February 19, 2010","January 31, 2019"
349,The La Coste National Bank,La Coste,TX,3287,Community National Bank,"February 19, 2010","August 19, 2014"
350,Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,"February 19, 2010","July 20, 2017"
351,1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB","February 5, 2010","November 1, 2013"
352,American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,"January 29, 2010","February 22, 2018"
353,First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,"January 29, 2010","January 31, 2019"
354,Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,"January 29, 2010","January 31, 2019"
355,"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,"January 29, 2010","February 1, 2019"
356,Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.","January 29, 2010","January 31, 2019"
357,First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,"January 29, 2010","February 22, 2018"
358,Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,"January 22, 2010","May 10, 2018"
359,Evergreen Bank,Seattle,WA,20501,Umpqua Bank,"January 22, 2010","July 12, 2018"
360,Charter Bank,Santa Fe,NM,32498,Charter Bank,"January 22, 2010","August 12, 2019"
361,Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.","January 22, 2010","February 1, 2019"
362,Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.","January 22, 2010","September 21, 2015"
363,Barnes Banking Company,Kaysville,UT,1252,No Acquirer,"January 15, 2010","February 1, 2019"
364,St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,"January 15, 2010","August 8, 2016"
365,Town Community Bank & Trust,Antioch,IL,34705,First American Bank,"January 15, 2010","February 1, 2019"
366,Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,"January 8, 2010","February 1, 2019"
367,"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB","December 18, 2009","February 1, 2019"
368,Imperial Capital Bank,La Jolla,CA,26348,City National Bank,"December 18, 2009","February 1, 2019"
369,Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),"December 18, 2009","February 1, 2019"
370,New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,"December 18, 2009","February 1, 2019"
371,Citizens State Bank,New Baltimore,MI,1006,No Acquirer,"December 18, 2009","February 1, 2019"
372,Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,"December 18, 2009","October 15, 2018"
373,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,"December 18, 2009","February 1, 2019"
374,SolutionsBank,Overland Park,KS,4731,Arvest Bank,"December 11, 2009","January 3, 2018"
375,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,"December 11, 2009","October 20, 2016"
376,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,"December 11, 2009","February 1, 2019"
377,Greater Atlantic Bank,Reston,VA,32583,Sonabank,"December 4, 2009","February 1, 2019"
378,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.","December 4, 2009","June 19, 2019"
379,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,"December 4, 2009","February 1, 2019"
380,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,"December 4, 2009","March 21, 2014"
381,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,"December 4, 2009","October 17, 2015"
382,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,"December 4, 2009","February 1, 2019"
383,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,"November 20, 2009","December 21, 2017"
384,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,"November 13, 2009","April 10, 2017"
385,Orion Bank,Naples,FL,22427,IBERIABANK,"November 13, 2009","February 1, 2019"
386,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,"November 13, 2009","February 1, 2019"
387,United Commercial Bank,San Francisco,CA,32469,East West Bank,"November 6, 2009","February 1, 2019"
388,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,"November 6, 2009","August 22, 2012"
389,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.","November 6, 2009","February 1, 2019"
390,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,"November 6, 2009","February 1, 2019"
391,United Security Bank,Sparta,GA,22286,Ameris Bank,"November 6, 2009","February 1, 2019"
392,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
393,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,"October 30, 2009","April 9, 2019"
394,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
395,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
396,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
397,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
398,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
399,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
400,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
401,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,"October 23, 2009","February 1, 2019"
402,Riverview Community Bank,Otsego,MN,57525,Central Bank,"October 23, 2009","December 21, 2017"
403,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,"October 23, 2009","August 22, 2012"
404,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,"October 23, 2009","February 5, 2015"
405,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,"October 23, 2009","February 1, 2019"
406,American United Bank,Lawrenceville,GA,57794,Ameris Bank,"October 23, 2009","July 16, 2018"
407,Partners Bank,Naples,FL,57959,Stonegate Bank,"October 23, 2009","February 5, 2015"
408,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,"October 16, 2009","February 1, 2019"
409,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,"October 2, 2009","December 12, 2016"
410,Jennings State Bank,Spring Grove,MN,11416,Central Bank,"October 2, 2009","November 15, 2017"
411,Warren Bank,Warren,MI,34824,The Huntington National Bank,"October 2, 2009","February 1, 2019"
412,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.","September 25, 2009","February 1, 2019"
413,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.","September 18, 2009","February 1, 2019"
414,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.","September 18, 2009","February 1, 2019"
415,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,"September 11, 2009","February 1, 2019"
416,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,"September 11, 2009","October 20, 2016"
417,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.","September 11, 2009","February 1, 2019"
418,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,"September 4, 2009","February 5, 2015"
419,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,"September 4, 2009","February 1, 2019"
420,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,"September 4, 2009","February 1, 2019"
